campus,timestamp,now_usage,now_percentage,daily_peak,weekly_peak,monthly_peak,yearly_peak,yearly_percentage
TOTAL,2025-08-17 16:20:07.651161,12059,,12183,29855,33024,102022,
St. George,2025-08-17 16:20:07.651161,5796,48.1,5899,18876,20757,68252,68.3
UTM,2025-08-17 16:20:07.651161,5444,45.1,5465,7970,8664,21476,21.5
UTSC,2025-08-17 16:20:07.651161,819,6.8,819,3009,3603,12294,12.3
TOTAL,2025-08-17 16:34:57.907454,12019,,12194,29855,33024,102022,
St. George,2025-08-17 16:34:57.907454,5798,48.2,5899,18876,20757,68252,68.3
UTM,2025-08-17 16:34:57.907454,5434,45.2,5465,7970,8664,21476,21.5
UTSC,2025-08-17 16:34:57.907454,787,6.5,830,3009,3603,12294,12.3
TOTAL,2025-08-17 16:46:47.700316,12005,,12194,29855,33024,102022,
St. George,2025-08-17 16:46:47.700316,5751,47.9,5899,18876,20757,68252,68.3
UTM,2025-08-17 16:46:47.700316,5428,45.2,5465,7970,8664,21476,21.5
UTSC,2025-08-17 16:46:47.700316,826,6.9,830,3009,3603,12294,12.3
